"PEPANNRES: Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014",,,,,,,,,,,
2014 Population Estimates ,,,,,,,,,,,
Geography,,,"April 1, 2010",,,,Population Estimate (as of July 1),,,,
,,,Census,,,Estimates Base,2010,2011,2012,2013,2014
"Hardin County, Texas",,,"54,635",,,"54,635","54,821","55,062","55,149","55,421","55,621"
"Harris County, Texas",,,"4,092,459",,,"4,093,011","4,108,909","4,181,948","4,263,060","4,352,752","4,441,370"
"Harrison County, Texas",,,"65,631",,,"65,632","65,711","67,338","67,284","67,185","67,336"
"Hartley County, Texas",,,"6,062",,,"6,062","6,060","6,084","6,153","6,070","6,089"
"Haskell County, Texas",,,"5,899",,,"5,899","5,875","5,966","5,880","5,884","5,769"
"Hays County, Texas",,,"157,107",,,"157,127","158,307","163,380","168,855","176,483","185,025"
"Hemphill County, Texas",,,"3,807",,,"3,807","3,798","3,962","4,082","4,139","4,180"
"Henderson County, Texas",,,"78,532",,,"78,536","78,648","78,684","78,942","78,618","79,290"
"Hidalgo County, Texas",,,"774,769",,,"774,773","779,194","795,303","807,725","818,942","831,073"
"Hill County, Texas",,,"35,089",,,"35,089","35,128","35,191","35,109","34,858","34,848"
"Hockley County, Texas",,,"22,935",,,"22,935","22,839","22,965","23,122","23,520","23,577"
"Hood County, Texas",,,"51,182",,,"51,173","51,291","51,491","52,136","52,897","53,921"
"Hopkins County, Texas",,,"35,161",,,"35,161","35,215","35,333","35,420","35,499","35,921"
"Houston County, Texas",,,"23,732",,,"23,732","23,693","23,368","23,149","22,806","22,741"
"Howard County, Texas",,,"35,012",,,"35,012","35,027","35,018","35,536","36,277","36,651"
"Hudspeth County, Texas",,,"3,476",,,"3,476","3,462","3,408","3,333","3,306","3,211"
"Hunt County, Texas",,,"86,129",,,"86,129","86,313","86,732","87,211","87,532","88,493"
"Hutchinson County, Texas",,,"22,150",,,"22,249","22,212","21,972","21,948","21,832","21,773"
"Irion County, Texas",,,"1,599",,,"1,599","1,610","1,606","1,576","1,609","1,574"
"Jack County, Texas",,,"9,044",,,"9,044","9,018","9,048","9,005","8,911","8,855"
"Jackson County, Texas",,,"14,075",,,"14,075","14,070","14,015","14,249","14,607","14,739"
"Jasper County, Texas",,,"35,710",,,"35,710","35,816","36,247","35,856","35,659","35,552"
"Jeff Davis County, Texas",,,"2,342",,,"2,342","2,351","2,308","2,312","2,236","2,204"
"Jefferson County, Texas",,,"252,273",,,"252,273","252,495","253,384","251,404","252,814","252,235"
"Jim Hogg County, Texas",,,"5,300",,,"5,300","5,292","5,282","5,265","5,236","5,255"
"Jim Wells County, Texas",,,"40,838",,,"40,839","40,880","41,195","41,644","41,669","41,353"
"Johnson County, Texas",,,"150,934",,,"150,943","151,297","152,037","153,530","154,952","157,456"
"Jones County, Texas",,,"20,202",,,"20,198","20,263","20,281","19,910","20,068","19,936"
"Karnes County, Texas",,,"14,824",,,"14,824","14,865","14,970","14,896","14,782","14,906"
"Kaufman County, Texas",,,"103,350",,,"103,346","103,871","105,287","106,680","108,521","111,236"
"Kendall County, Texas",,,"33,410",,,"33,415","33,651","34,532","35,759","37,469","38,880"
"Kenedy County, Texas",,,416,,,416,418,435,432,415,400
"Kent County, Texas",,,808,,,808,812,823,839,801,785
"Kerr County, Texas",,,"49,625",,,"49,625","49,641","49,636","49,798","49,932","50,562"
"Kimble County, Texas",,,"4,607",,,"4,607","4,583","4,593","4,534","4,462","4,438"
"King County, Texas",,,286,,,286,288,258,271,273,262
"Kinney County, Texas",,,"3,598",,,"3,598","3,601","3,611","3,628","3,623","3,526"
"Kleberg County, Texas",,,"32,061",,,"32,061","32,095","32,098","32,180","32,149","32,190"
"Knox County, Texas",,,"3,719",,,"3,719","3,729","3,747","3,768","3,777","3,858"
"Lamar County, Texas",,,"49,793",,,"49,789","49,844","49,975","49,856","49,320","49,523"
"Lamb County, Texas",,,"13,977",,,"13,977","14,010","14,105","13,931","13,757","13,574"
"Lampasas County, Texas",,,"19,677",,,"19,677","19,755","19,927","20,081","20,179","20,156"
"La Salle County, Texas",,,"6,886",,,"6,886","6,898","6,989","7,126","7,429","7,474"
"Lavaca County, Texas",,,"19,263",,,"19,263","19,244","19,227","19,455","19,543","19,721"
"Lee County, Texas",,,"16,612",,,"16,610","16,605","16,601","16,548","16,587","16,742"
"Leon County, Texas",,,"16,801",,,"16,801","16,758","16,846","16,763","16,694","16,861"
"Liberty County, Texas",,,"75,643",,,"75,643","75,831","76,042","76,511","77,033","78,117"
"Limestone County, Texas",,,"23,384",,,"23,386","23,474","23,571","23,664","23,422","23,524"
"Lipscomb County, Texas",,,"3,302",,,"3,302","3,283","3,343","3,432","3,479","3,553"
"Live Oak County, Texas",,,"11,531",,,"11,527","11,545","11,518","11,668","11,868","12,091"
"Llano County, Texas",,,"19,301",,,"19,301","19,359","18,964","19,121","19,406","19,510"
"Loving County, Texas",,,82,,,82,83,95,83,103,86
"Lubbock County, Texas",,,"278,831",,,"278,831","280,207","283,399","286,096","290,060","293,974"
"Lynn County, Texas",,,"5,915",,,"5,915","5,897","5,879","5,777","5,708","5,771"
"McCulloch County, Texas",,,"8,283",,,"8,283","8,221","8,271","8,275","8,261","8,199"
"McLennan County, Texas",,,"234,906",,,"234,906","235,961","237,867","239,511","241,807","243,441"
"McMullen County, Texas",,,707,,,707,712,703,738,772,805
"Madison County, Texas",,,"13,664",,,"13,667","13,737","13,727","13,712","13,819","13,861"
"Marion County, Texas",,,"10,546",,,"10,536","10,513","10,452","10,323","10,239","10,149"
"Martin County, Texas",,,"4,799",,,"4,799","4,817","4,911","5,002","5,291","5,460"
"Mason County, Texas",,,"4,012",,,"4,012","4,013","4,029","4,044","4,148","4,071"
"Matagorda County, Texas",,,"36,702",,,"36,702","36,721","36,714","36,566","36,537","36,519"
"Maverick County, Texas",,,"54,258",,,"54,258","54,499","55,308","55,766","56,510","57,023"
"Medina County, Texas",,,"46,006",,,"46,006","46,153","46,546","46,867","47,366","47,894"
"Menard County, Texas",,,"2,242",,,"2,242","2,235","2,220","2,221","2,143","2,147"
"Midland County, Texas",,,"136,872",,,"136,875","136,981","140,085","147,090","151,949","155,830"
"Milam County, Texas",,,"24,757",,,"24,758","24,702","24,646","24,143","24,191","24,256"
"Mills County, Texas",,,"4,936",,,"4,936","4,953","4,867","4,831","4,886","4,870"
"Mitchell County, Texas",,,"9,403",,,"9,403","9,409","9,385","9,312","8,998","9,076"
"Montague County, Texas",,,"19,719",,,"19,720","19,720","19,741","19,529","19,435","19,416"
"Montgomery County, Texas",,,"455,746",,,"455,764","459,421","471,836","485,119","499,818","518,947"
"Moore County, Texas",,,"21,904",,,"21,904","21,996","22,093","22,399","22,223","22,148"
"Morris County, Texas",,,"12,934",,,"12,934","12,921","12,820","12,757","12,782","12,743"
"Motley County, Texas",,,"1,210",,,"1,210","1,205","1,211","1,195","1,193","1,153"
"Nacogdoches County, Texas",,,"64,524",,,"64,524","64,645","65,632","65,841","65,190","65,301"
"Navarro County, Texas",,,"47,735",,,"47,831","47,848","48,056","48,131","48,133","48,195"
"Newton County, Texas",,,"14,445",,,"14,445","14,439","14,501","14,328","14,209","14,138"
"Nolan County, Texas",,,"15,216",,,"15,217","15,240","15,121","14,877","15,077","15,093"
"Nueces County, Texas",,,"340,223",,,"340,223","340,320","343,216","347,933","352,962","356,221"
"Ochiltree County, Texas",,,"10,223",,,"10,223","10,173","10,443","10,621","10,734","10,758"
"Oldham County, Texas",,,"2,052",,,"2,052","2,050","2,075","2,047","2,100","2,070"
"Orange County, Texas",,,"81,837",,,"81,837","81,993","82,328","82,951","82,980","83,433"
"Palo Pinto County, Texas",,,"28,111",,,"28,111","28,102","28,137","27,883","27,924","28,096"
"Panola County, Texas",,,"23,796",,,"23,796","23,781","24,026","23,998","23,825","23,769"
"Parker County, Texas",,,"116,927",,,"116,927","117,294","118,500","119,757","120,207","123,164"
"Parmer County, Texas",,,"10,269",,,"10,269","10,285","10,297","10,162","9,970","9,908"
"Pecos County, Texas",,,"15,507",,,"15,507","15,536","15,639","15,591","15,724","15,893"
"Polk County, Texas",,,"45,413",,,"45,413","45,443","45,645","45,745","45,871","46,079"
"Potter County, Texas",,,"121,073",,,"121,073","121,390","122,350","122,754","122,146","121,627"
"Presidio County, Texas",,,"7,818",,,"7,817","7,874","7,741","7,540","7,264","6,976"
"Rains County, Texas",,,"10,914",,,"10,914","10,931","11,023","10,938","11,016","11,032"
"Randall County, Texas",,,"120,725",,,"120,725","121,190","123,359","124,897","126,644","128,220"
"Reagan County, Texas",,,"3,367",,,"3,367","3,351","3,393","3,476","3,627","3,755"
"Real County, Texas",,,"3,309",,,"3,309","3,324","3,429","3,372","3,329","3,371"
"Red River County, Texas",,,"12,860",,,"12,864","12,851","12,695","12,712","12,505","12,446"
"Reeves County, Texas",,,"13,783",,,"13,783","13,813","13,761","13,892","14,077","14,349"
"Refugio County, Texas",,,"7,383",,,"7,383","7,357","7,310","7,238","7,268","7,302"
"Roberts County, Texas",,,929,,,929,925,933,950,923,928
"Robertson County, Texas",,,"16,622",,,"16,622","16,588","16,693","16,490","16,461","16,500"
"Rockwall County, Texas",,,"78,337",,,"78,337","78,967","81,136","82,992","85,290","87,809"
"Runnels County, Texas",,,"10,501",,,"10,501","10,506","10,561","10,422","10,302","10,416"
"Rusk County, Texas",,,"53,330",,,"53,336","53,386","53,768","55,743","53,973","53,923"
"Sabine County, Texas",,,"10,834",,,"10,835","10,865","10,681","10,469","10,389","10,350"
"San Augustine County, Texas",,,"8,865",,,"8,864","8,846","8,853","8,836","8,741","8,610"
"San Jacinto County, Texas",,,"26,384",,,"26,381","26,439","26,814","27,000","26,804","27,099"
"San Patricio County, Texas",,,"64,804",,,"64,807","64,502","64,500","65,372","66,257","66,915"
"San Saba County, Texas",,,"6,131",,,"6,131","6,139","6,046","5,988","5,712","5,622"
"Schleicher County, Texas",,,"3,461",,,"3,461","3,499","3,300","3,249","3,197","3,162"
"Scurry County, Texas",,,"16,921",,,"16,921","16,954","16,887","17,106","17,267","17,328"
"Shackelford County, Texas",,,"3,378",,,"3,378","3,367","3,342","3,370","3,374","3,343"
"Shelby County, Texas",,,"25,448",,,"25,448","25,427","25,695","25,988","25,865","25,515"
"Sherman County, Texas",,,"3,034",,,"3,034","3,030","3,035","3,067","3,085","3,084"
"Smith County, Texas",,,"209,714",,,"209,714","210,455","212,765","214,941","216,670","218,842"
"Somervell County, Texas",,,"8,490",,,"8,490","8,509","8,452","8,594","8,624","8,694"
"Starr County, Texas",,,"60,968",,,"60,968","61,178","61,727","61,951","62,390","62,955"
"Stephens County, Texas",,,"9,630",,,"9,630","9,595","9,507","9,570","9,350","9,405"
"Sterling County, Texas",,,"1,143",,,"1,143","1,137","1,168","1,188","1,230","1,339"
"Stonewall County, Texas",,,"1,490",,,"1,490","1,495","1,479","1,470","1,430","1,403"
"Sutton County, Texas",,,"4,128",,,"4,128","4,060","4,011","3,930","4,001","3,972"
"Swisher County, Texas",,,"7,854",,,"7,854","7,895","7,825","7,882","7,761","7,581"
"Tarrant County, Texas",,,"1,809,034",,,"1,809,537","1,816,784","1,848,435","1,882,822","1,913,943","1,945,360"
"Taylor County, Texas",,,"131,506",,,"131,510","131,863","132,822","134,104","133,866","135,143"
"Terrell County, Texas",,,984,,,984,"1,007",955,926,905,927
"Terry County, Texas",,,"12,651",,,"12,651","12,663","12,653","12,610","12,739","12,739"
"Throckmorton County, Texas",,,"1,641",,,"1,641","1,630","1,637","1,601","1,598","1,608"
"Titus County, Texas",,,"32,334",,,"32,334","32,408","32,441","32,693","32,654","32,506"
"Tom Green County, Texas",,,"110,224",,,"110,224","110,673","111,823","113,521","114,955","116,608"
"Travis County, Texas",,,"1,024,266",,,"1,024,301","1,030,443","1,062,609","1,097,104","1,122,748","1,151,145"
"Trinity County, Texas",,,"14,585",,,"14,675","14,697","14,636","14,300","14,401","14,224"
"Tyler County, Texas",,,"21,766",,,"21,766","21,763","21,673","21,452","21,453","21,418"
"Upshur County, Texas",,,"39,309",,,"39,318","39,388","39,770","39,952","39,790","40,354"
"Upton County, Texas",,,"3,355",,,"3,349","3,346","3,285","3,254","3,358","3,454"
"Uvalde County, Texas",,,"26,405",,,"26,405","26,448","26,574","26,760","26,916","27,117"
"Val Verde County, Texas",,,"48,879",,,"48,879","49,008","49,001","48,953","49,059","48,974"
"Van Zandt County, Texas",,,"52,579",,,"52,582","52,656","52,644","52,355","52,462","52,910"
"Victoria County, Texas",,,"86,793",,,"86,793","86,849","87,444","89,276","90,123","91,081"
"Walker County, Texas",,,"67,861",,,"67,861","68,219","68,296","68,656","69,452","69,789"
"Waller County, Texas",,,"43,205",,,"43,237","43,441","44,028","44,353","45,484","46,820"
"Ward County, Texas",,,"10,658",,,"10,658","10,612","10,696","10,876","11,245","11,625"
"Washington County, Texas",,,"33,718",,,"33,708","33,749","33,972","33,866","34,169","34,438"
"Webb County, Texas",,,"250,304",,,"250,304","251,308","255,618","259,986","263,772","266,673"
"Wharton County, Texas",,,"41,280",,,"41,280","41,316","41,250","41,147","41,215","41,168"
"Wheeler County, Texas",,,"5,410",,,"5,410","5,407","5,467","5,607","5,740","5,714"
"Wichita County, Texas",,,"131,500",,,"131,669","131,791","130,820","131,702","132,343","132,355"
"Wilbarger County, Texas",,,"13,535",,,"13,535","13,505","13,431","13,262","13,154","12,973"
"Willacy County, Texas",,,"22,134",,,"22,134","22,202","22,114","22,107","21,953","21,903"
"Williamson County, Texas",,,"422,679",,,"422,649","426,541","442,482","456,593","471,225","489,250"
"Wilson County, Texas",,,"42,918",,,"42,913","43,074","43,697","44,432","45,438","46,402"
"Winkler County, Texas",,,"7,110",,,"7,110","7,084","7,146","7,344","7,624","7,821"
"Wise County, Texas",,,"59,127",,,"59,127","59,102","59,936","60,387","61,003","61,638"
"Wood County, Texas",,,"41,964",,,"41,961","42,031","42,177","42,525","42,570","42,852"
"Yoakum County, Texas",,,"7,879",,,"7,879","7,835","7,971","8,018","8,160","8,286"
"Young County, Texas",,,"18,550",,,"18,550","18,529","18,344","18,290","18,356","18,350"
"Zapata County, Texas",,,"14,018",,,"14,018","14,056","14,192","14,232","14,356","14,319"
"Zavala County, Texas",,,"11,677",,,"11,677","11,730","11,861","11,996","12,211","12,267"
"Beaver County, Utah",,,"6,629",,,"6,629","6,640","6,521","6,486","6,462","6,461"
"Box Elder County, Utah",,,"49,975",,,"49,975","50,153","50,262","50,269","50,864","51,518"
"Cache County, Utah",,,"112,656",,,"112,656","113,299","114,842","115,958","117,326","118,343"
"Carbon County, Utah",,,"21,403",,,"21,403","21,416","21,328","21,254","20,931","20,660"
"Daggett County, Utah",,,"1,059",,,"1,061","1,067","1,158","1,086","1,130","1,117"
"Davis County, Utah",,,"306,479",,,"306,479","307,779","311,986","316,018","322,754","329,692"
"Duchesne County, Utah",,,"18,607",,,"18,607","18,612","18,732","19,061","20,106","20,380"
"Emery County, Utah",,,"10,976",,,"10,976","10,971","10,953","10,901","10,716","10,631"
"Garfield County, Utah",,,"5,172",,,"5,172","5,183","5,167","5,088","5,065","5,024"
"Grand County, Utah",,,"9,225",,,"9,225","9,316","9,288","9,341","9,367","9,429"
"Iron County, Utah",,,"46,163",,,"46,163","46,264","46,658","46,730","46,706","47,269"
"Juab County, Utah",,,"10,246",,,"10,246","10,261","10,343","10,328","10,327","10,486"
"Kane County, Utah",,,"7,125",,,"7,125","7,153","7,237","7,217","7,242","7,254"
"Millard County, Utah",,,"12,503",,,"12,503","12,523","12,609","12,543","12,628","12,606"
"Morgan County, Utah",,,"9,469",,,"9,469","9,519","9,650","9,802","10,198","10,608"
"Piute County, Utah",,,"1,556",,,"1,557","1,556","1,523","1,528","1,523","1,484"
"Rich County, Utah",,,"2,264",,,"2,264","2,257","2,320","2,279","2,276","2,293"
"Salt Lake County, Utah",,,"1,029,655",,,"1,029,655","1,032,942","1,048,397","1,064,402","1,080,866","1,091,742"
"San Juan County, Utah",,,"14,746",,,"14,746","14,805","14,776","14,899","14,990","15,251"
"Sanpete County, Utah",,,"27,822",,,"27,822","27,871","28,027","28,029","28,243","28,477"
"Sevier County, Utah",,,"20,802",,,"20,801","20,804","20,903","20,735","20,844","20,773"
"Summit County, Utah",,,"36,324",,,"36,324","36,503","37,429","37,893","38,453","39,105"
"Tooele County, Utah",,,"58,218",,,"58,218","58,490","59,237","59,820","60,718","61,598"
"Uintah County, Utah",,,"32,588",,,"32,586","32,429","33,258","34,636","35,690","36,867"
"Utah County, Utah",,,"516,564",,,"516,564","519,569","530,053","539,602","551,926","560,974"
"Wasatch County, Utah",,,"23,530",,,"23,530","23,673","24,427","25,374","26,563","27,714"
"Washington County, Utah",,,"138,115",,,"138,115","138,406","141,502","144,643","147,719","151,948"
"Wayne County, Utah",,,"2,778",,,"2,778","2,767","2,758","2,732","2,732","2,723"
"Weber County, Utah",,,"231,236",,,"231,236","232,118","233,980","236,540","238,422","240,475"
"Addison County, Vermont",,,"36,821",,,"36,824","36,811","36,861","36,837","36,898","37,009"
"Bennington County, Vermont",,,"37,125",,,"37,125","37,077","36,812","36,669","36,692","36,445"
"Caledonia County, Vermont",,,"31,227",,,"31,226","31,189","31,130","31,095","31,151","30,981"
"Chittenden County, Vermont",,,"156,545",,,"156,540","156,762","157,679","158,641","159,818","160,531"
"Essex County, Vermont",,,"6,306",,,"6,306","6,297","6,323","6,216","6,196","6,125"
"Franklin County, Vermont",,,"47,746",,,"47,752","47,788","48,175","48,253","48,272","48,642"
"Grand Isle County, Vermont",,,"6,970",,,"6,970","6,958","6,983","6,980","6,982","6,994"
"Lamoille County, Vermont",,,"24,475",,,"24,475","24,517","24,659","24,905","25,050","25,082"
"Orange County, Vermont",,,"28,936",,,"28,936","28,941","29,025","28,933","28,879","28,859"
"Orleans County, Vermont",,,"27,231",,,"27,231","27,225","27,162","27,159","27,170","27,082"
"Rutland County, Vermont",,,"61,642",,,"61,646","61,573","61,243","60,875","60,545","60,086"
"Washington County, Vermont",,,"59,534",,,"59,535","59,550","59,543","59,351","59,221","58,998"
"Windham County, Vermont",,,"44,513",,,"44,513","44,503","44,229","43,997","43,808","43,714"
"Windsor County, Vermont",,,"56,670",,,"56,666","56,601","56,626","56,227","56,173","56,014"
"Accomack County, Virginia",,,"33,164",,,"33,164","33,176","33,294","33,313","33,021","33,021"
"Albemarle County, Virginia",,,"98,970",,,"98,998","99,214","100,667","102,030","103,014","104,489"
"Alleghany County, Virginia",,,"16,250",,,"16,261","16,223","16,320","16,183","16,121","15,820"
"Amelia County, Virginia",,,"12,690",,,"12,695","12,740","12,752","12,745","12,727","12,855"
"Amherst County, Virginia",,,"32,353",,,"32,351","32,388","32,120","32,445","32,193","32,041"
"Appomattox County, Virginia",,,"14,973",,,"14,975","15,031","15,003","15,144","15,230","15,279"
"Arlington County, Virginia",,,"207,627",,,"207,676","209,395","216,603","221,947","226,012","226,908"
"Augusta County, Virginia",,,"73,750",,,"73,736","73,485","73,752","73,603","73,835","73,862"
"Bath County, Virginia",,,"4,731",,,"4,727","4,717","4,676","4,655","4,607","4,563"
"Bedford County, Virginia",,,"68,676",,,"74,866","74,941","75,338","75,431","75,740","76,583"
"Bland County, Virginia",,,"6,824",,,"6,824","6,823","6,780","6,710","6,695","6,625"
"Botetourt County, Virginia",,,"33,148",,,"33,148","33,188","33,052","33,157","33,029","33,100"
"Brunswick County, Virginia",,,"17,434",,,"17,432","17,424","17,161","17,063","16,659","16,498"
"Buchanan County, Virginia",,,"24,098",,,"24,095","24,028","23,888","23,837","23,555","23,106"
"Buckingham County, Virginia",,,"17,146",,,"17,143","17,107","17,170","17,043","17,127","16,913"
"Campbell County, Virginia",,,"54,842",,,"54,851","54,891","54,812","54,726","54,851","54,885"
"Caroline County, Virginia",,,"28,545",,,"28,558","28,615","28,667","28,939","29,285","29,778"
"Carroll County, Virginia",,,"30,042",,,"30,042","30,042","30,031","29,873","29,837","29,621"
"Charles City County, Virginia",,,"7,256",,,"7,256","7,260","7,231","7,148","7,106","7,023"
"Charlotte County, Virginia",,,"12,586",,,"12,575","12,547","12,501","12,411","12,312","12,225"
"Chesterfield County, Virginia",,,"316,236",,,"316,231","317,151","320,292","323,850","327,892","332,499"
"Clarke County, Virginia",,,"14,034",,,"14,029","14,049","14,229","14,316","14,348","14,423"
"Craig County, Virginia",,,"5,190",,,"5,173","5,176","5,228","5,198","5,196","5,234"
"Culpeper County, Virginia",,,"46,689",,,"46,691","46,816","47,311","47,767","48,488","49,166"
"Cumberland County, Virginia",,,"10,052",,,"10,055","10,043","10,019","9,851","9,838","9,827"
"Dickenson County, Virginia",,,"15,903",,,"15,892","15,870","15,765","15,668","15,449","15,308"
"Dinwiddie County, Virginia",,,"28,001",,,"28,001","27,998","28,084","28,100","27,926","27,859"
"Essex County, Virginia",,,"11,151",,,"11,146","11,154","11,204","11,167","11,200","11,103"
"Fairfax County, Virginia",,,"1,081,726",,,"1,081,685","1,086,723","1,105,624","1,121,050","1,134,423","1,137,538"
"Fauquier County, Virginia",,,"65,203",,,"65,275","65,443","66,105","66,603","67,233","68,248"
"Floyd County, Virginia",,,"15,279",,,"15,287","15,334","15,393","15,426","15,528","15,578"
"Fluvanna County, Virginia",,,"25,691",,,"25,704","25,773","26,002","25,943","25,916","26,092"
"Franklin County, Virginia",,,"56,159",,,"56,166","56,221","56,442","56,392","56,388","56,358"
"Frederick County, Virginia",,,"78,305",,,"78,306","78,592","79,499","80,161","81,257","82,377"
"Giles County, Virginia",,,"17,286",,,"17,286","17,297","17,104","16,968","16,939","16,815"
"Gloucester County, Virginia",,,"36,858",,,"36,858","36,929","36,878","36,894","36,848","37,141"
"Goochland County, Virginia",,,"21,717",,,"21,699","21,751","21,458","21,350","21,639","21,936"
"Grayson County, Virginia",,,"15,533",,,"15,533","15,462","15,365","15,179","15,176","15,093"
"Greene County, Virginia",,,"18,403",,,"18,410","18,455","18,696","18,807","18,839","19,031"
"Greensville County, Virginia",,,"12,243",,,"12,243","12,233","12,055","11,824","11,761","11,681"
"Halifax County, Virginia",,,"36,241",,,"36,241","36,154","36,001","35,774","35,389","35,200"
"Hanover County, Virginia",,,"99,863",,,"99,852","99,921","99,975","100,432","101,198","101,918"
"Henrico County, Virginia",,,"306,935",,,"306,906","307,542","310,550","315,431","318,943","321,924"
"Henry County, Virginia",,,"54,151",,,"54,143","54,094","53,274","52,824","52,527","52,081"
"Highland County, Virginia",,,"2,321",,,"2,319","2,294","2,279","2,249","2,219","2,248"
"Isle of Wight County, Virginia",,,"35,270",,,"35,270","35,288","35,274","35,380","35,643","36,007"
"James City County, Virginia",,,"67,009",,,"67,401","67,751","68,329","69,532","70,964","72,583"
"King and Queen County, Virginia",,,"6,945",,,"6,945","6,970","7,032","7,068","7,118","7,175"
"King George County, Virginia",,,"23,584",,,"23,584","23,676","24,279","24,608","24,950","25,371"
"King William County, Virginia",,,"15,935",,,"15,927","15,977","15,981","15,977","16,103","16,186"
"Lancaster County, Virginia",,,"11,391",,,"11,395","11,369","11,350","11,230","11,128","11,044"
"Lee County, Virginia",,,"25,587",,,"25,587","25,543","25,663","25,539","25,202","24,951"
"Loudoun County, Virginia",,,"312,311",,,"312,316","315,505","326,900","338,165","350,959","363,050"
"Louisa County, Virginia",,,"33,153",,,"33,223","33,348","33,499","33,517","34,004","34,348"
"Lunenburg County, Virginia",,,"12,914",,,"12,916","12,898","12,875","12,599","12,498","12,466"
"Madison County, Virginia",,,"13,308",,,"13,308","13,295","13,192","13,207","13,187","13,157"
"Mathews County, Virginia",,,"8,978",,,"8,976","8,973","8,963","8,921","8,922","8,836"
"Mecklenburg County, Virginia",,,"32,727",,,"32,727","32,700","32,578","31,758","31,336","31,192"
"Middlesex County, Virginia",,,"10,959",,,"10,959","10,970","10,834","10,827","10,758","10,696"
"Montgomery County, Virginia",,,"94,392",,,"94,412","94,610","94,841","95,651","96,696","97,244"
"Nelson County, Virginia",,,"15,020",,,"15,020","14,981","15,034","14,807","14,789","14,850"
"New Kent County, Virginia",,,"18,429",,,"18,432","18,546","18,754","19,132","19,482","20,021"
"Northampton County, Virginia",,,"12,389",,,"12,389","12,397","12,432","12,237","12,082","12,121"
"Northumberland County, Virginia",,,"12,330",,,"12,326","12,350","12,416","12,354","12,231","12,251"
"Nottoway County, Virginia",,,"15,853",,,"15,852","15,834","15,889","15,776","15,701","15,579"
"Orange County, Virginia",,,"33,481",,,"33,434","33,485","33,872","34,187","34,623","35,026"
"Page County, Virginia",,,"24,042",,,"24,055","24,048","23,990","23,872","23,769","23,848"
"Patrick County, Virginia",,,"18,490",,,"18,490","18,476","18,368","18,403","18,316","18,264"
"Pittsylvania County, Virginia",,,"63,506",,,"63,492","63,571","63,374","62,898","62,547","62,383"
"Powhatan County, Virginia",,,"28,046",,,"28,046","28,079","28,078","28,116","28,241","28,449"
"Prince Edward County, Virginia",,,"23,368",,,"23,360","23,371","23,223","23,211","22,820","23,074"
"Prince George County, Virginia",,,"35,725",,,"35,724","35,619","36,668","37,036","37,303","37,333"
"Prince William County, Virginia",,,"402,002",,,"401,972","406,370","420,004","431,226","440,166","446,094"
"Pulaski County, Virginia",,,"34,872",,,"34,861","34,819","34,749","34,747","34,512","34,322"
"Rappahannock County, Virginia",,,"7,373",,,"7,506","7,499","7,485","7,430","7,453","7,361"
"Richmond County, Virginia",,,"9,254",,,"9,254","9,264","9,189","9,052","8,951","8,902"
"Roanoke County, Virginia",,,"92,376",,,"92,439","92,456","93,004","93,031","93,694","93,785"
"Rockbridge County, Virginia",,,"22,307",,,"22,310","22,280","22,504","22,392","22,334","22,327"
"Rockingham County, Virginia",,,"76,314",,,"76,310","76,354","77,109","77,375","77,715","78,171"
"Russell County, Virginia",,,"28,897",,,"28,896","28,842","28,657","28,426","28,274","28,023"
"Scott County, Virginia",,,"23,177",,,"23,172","23,125","22,961","22,801","22,632","22,384"
"Shenandoah County, Virginia",,,"41,993",,,"41,993","42,050","42,283","42,641","42,729","43,021"
"Smyth County, Virginia",,,"32,208",,,"32,208","32,193","32,030","31,863","31,741","31,555"
"Southampton County, Virginia",,,"18,570",,,"18,589","18,588","18,571","18,417","18,186","18,059"
"Spotsylvania County, Virginia",,,"122,397",,,"122,660","123,158","124,823","126,137","127,696","129,188"
"Stafford County, Virginia",,,"128,961",,,"128,952","129,787","132,219","134,374","136,988","139,992"
"Surry County, Virginia",,,"7,058",,,"7,065","7,060","6,940","6,840","6,794","6,790"
"Sussex County, Virginia",,,"12,087",,,"12,083","12,004","12,091","11,941","11,808","11,767"
"Tazewell County, Virginia",,,"45,078",,,"45,078","45,157","44,690","44,248","44,107","43,452"
"Warren County, Virginia",,,"37,575",,,"37,431","37,504","37,650","37,963","38,607","38,987"
"Washington County, Virginia",,,"54,876",,,"54,870","54,865","54,735","55,073","54,763","54,729"
"Westmoreland County, Virginia",,,"17,454",,,"17,454","17,444","17,608","17,497","17,562","17,477"
"Wise County, Virginia",,,"41,452",,,"41,480","41,594","41,384","40,828","40,620","39,935"
"Wythe County, Virginia",,,"29,235",,,"29,235","29,254","29,228","29,351","29,339","29,121"
"York County, Virginia",,,"65,464",,,"65,186","65,198","65,810","65,746","65,944","66,342"
"Alexandria city, Virginia",,,"139,966",,,"140,006","140,829","144,461","146,934","149,312","150,575"
"Bristol city, Virginia",,,"17,835",,,"17,841","17,855","17,776","17,724","17,436","17,184"
"Buena Vista city, Virginia",,,"6,650",,,"6,651","6,646","6,721","6,768","6,675","6,603"
"Charlottesville city, Virginia",,,"43,475",,,"43,435","43,546","43,770","44,521","45,093","45,593"
"Chesapeake city, Virginia",,,"222,209",,,"222,209","223,517","225,333","228,188","230,431","233,371"
"Colonial Heights city, Virginia",,,"17,411",,,"17,413","17,390","17,369","17,510","17,708","17,731"
